#radius "collision time" "collision probability"
1 4.48 0.00897325229039805
2 4.356 0.00877668510111024
3 4.352 0.008907433646896352
4 4.45 0.008970090451866756
5 4.538 0.009141106047021924
6 4.404 0.008967799539198356
7 4.524 0.008991868735793293
8 4.508 0.009163142975427509
9 4.3 0.008784588380487044
10 4.312 0.008939810167778894
