#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages
10 0.36380079365079315 0.5341999999999999 2.098624045078593e-08 0.264 0.005052043875113271 3.7640660070726804e-11 10.0 4.658 5.342 0.0 1.0 0.0
20 0.5864904761904749 0.7729961038961038 2.526975723821597e-08 0.334 0.0033273579636825296 2.4790748683233034e-11 20.01 4.542 15.468 0.0 1.0005 0.0005
30 0.7196526355996956 0.873159605926066 2.9565634157165465e-08 0.394 0.00263119959546727 1.9603964652622267e-11 30.062 3.812 26.25 0.0 1.0020666666666667 0.0020666666666666663
40 0.801106480356888 0.9246740561766955 3.5649092866838854e-08 0.49 0.0025179016247118945 1.8759828990041424e-11 40.328 3.044 37.284 0.0 1.0081999999999998 0.008199999999999997
50 0.8555575496170412 0.9526917686982213 3.4728601849550264e-08 0.496 0.0021238181767749107 1.582367849927329e-11 50.414 2.39 48.024 0.0 1.0082799999999998 0.008280000000000001
60 0.8905546228744711 0.9681476372133604 3.4132169618022815e-08 0.494 0.0017989670926093736 1.340334931469987e-11 60.634 1.942 58.692 0.0 1.0105666666666666 0.010566666666666665
70 0.9107804573315661 0.9765594842124675 3.214364489527647e-08 0.49 0.0015875812185162969 1.182840182271821e-11 71.288 1.694 69.594 0.0 1.0184000000000002 0.018399999999999993
80 0.9276034803356124 0.9825963899150107 2.8521137430306308e-08 0.456 0.0013574261709463301 1.0113613091009335e-11 81.67 1.456 80.214 0.0 1.0208750000000002 0.02087499999999999
90 0.9345269853563164 0.9854612900581856 2.788628810891727e-08 0.46 0.0012651777170339291 9.426308550193378e-12 92.526 1.386 91.14 0.0 1.028066666666667 0.028066666666666653
100 0.9398210675128214 0.9876489488213077 2.7065888004819263e-08 0.444 0.0011032342931126832 8.219736018126333e-12 102.558 1.298 101.26 0.0 1.0255799999999997 0.025579999999999985
