#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
10 0.41782222222222337 0.5889333333333332 0.0 0.0 0.0 0.0 10.0 4.110666666666667 5.889333333333333 0.0 1.0 0.0 4.110666666666667 0.0
20 0.5925426428147025 0.7723333333333349 0.0 0.0 0.0 0.0 20.0 4.553333333333334 15.446666666666667 0.0 1.0 0.0 4.553333333333334 0.0
30 0.7262683639202219 0.8721777777777772 0.0 0.0 0.0 0.0 30.0 3.8346666666666667 26.165333333333333 0.0 1.0 0.0 3.8346666666666667 0.0
40 0.7996115235365119 0.918099999999999 0.0 0.0 0.0 0.0 40.0 3.276 36.724 0.0 1.0 0.0 3.276 0.0
50 0.8448070365076616 0.944680000000007 0.0 0.0 0.0 0.0 50.0 2.766 47.234 0.0 1.0 0.0 2.766 0.0
60 0.8802569450686876 0.9618000000000065 0.0 0.0 0.0 0.0 60.0 2.292 57.708 0.0 1.0 0.0 2.292 0.0
70 0.900482090419063 0.9718571428571372 0.0 0.0 0.0 0.0 70.0 1.97 68.03 0.0 1.0 0.0 1.97 0.0
80 0.9193922645342912 0.9792416666666598 0.0 0.0 0.0 0.0 80.0 1.6606666666666667 78.33933333333333 0.0 1.0 0.0 1.6606666666666667 0.0
90 0.9277140732443915 0.9832074074074074 0.0 0.0 0.0 0.0 90.0 1.5113333333333334 88.48866666666666 0.0 1.0 0.0 1.5113333333333334 0.0
100 0.9376717401284348 0.9868800000000062 0.0 0.0 0.0 0.0 100.0 1.312 98.688 0.0 1.0 0.0 1.312 0.0
