#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
10 0.33955502645502605 0.4957999999999988 0.0 0.0 0.0 0.0 10.0 5.042 4.958 0.0 1.0 0.0 5.042 0.0
20 0.505609264210734 0.6919666666666685 0.0 0.0 0.0 0.0 20.0 6.160666666666667 13.839333333333334 0.0 1.0 0.0 6.160666666666667 0.0
30 0.6242716247921531 0.8017999999999998 0.0 0.0 0.0 0.0 30.0 5.946 24.054 0.0 1.0 0.0 5.946 0.0
40 0.7275568709791345 0.8753833333333344 0.0 0.0 0.0 0.0 40.0 4.984666666666667 35.01533333333333 0.0 1.0 0.0 4.984666666666667 0.0
50 0.7986898866579267 0.9178000000000068 0.0 0.0 0.0 0.0 50.0 4.11 45.89 0.0 1.0 0.0 4.11 0.0
60 0.8506801038535824 0.9460666666666717 3.918245028661611e-11 0.0006666666666666666 2.817051281858757e-06 2.0988667621156253e-14 60.0 3.236 56.764 0.0 1.0 0.0 3.235333333333333 0.001161175876886098
70 0.8775991182004064 0.9596380952380892 3.297903196326312e-11 0.0006666666666666666 2.8688091077966113e-06 2.137429347482779e-14 70.0 2.8253333333333335 67.17466666666667 0.0 1.0 0.0 2.824666666666667 0.0012396603124758122
80 0.898589800548402 0.9693749999999932 3.408909332650905e-11 0.0006666666666666666 2.428466725758671e-06 1.8093487067212693e-14 80.0 2.45 77.55 0.0 1.0 0.0 2.449333333333333 0.0013689830188666984
90 0.918160027701899 0.9780666666666683 0.0 0.0 0.0 0.0 90.0 1.974 88.026 0.0 1.0 0.0 1.974 0.0
100 0.929608305503448 0.9822600000000065 0.0 0.0 0.0 0.0 100.0 1.774 98.226 0.0 1.0 0.0 1.774 0.0
