#nodes "collision probability" "mean time before channel busy"

2 0.0017299069572419353 62.35373432177983
3 0.0029689541238067945 51.07800685088361
4 0.004101188858267948 54.44451035904393
5 0.005109090200287044 56.724091131038335
6 0.005889663493262811 52.071555845412576
7 0.007053579194801159 54.339842505128495
8 0.008817723709866162 56.08633641996022
9 0.011332871416881907 54.5754035281651
10 0.014531669377374328 53.60140367221581
11 0.018124850646507085 56.02670681388352
12 0.022850725831663615 57.05621487917157
13 0.029705601582016523 55.45166778360973
14 0.03634742752995051 56.05833921214486
15 0.04523000595106142 57.93611644997253
16 0.053958900049049054 57.57852366252439
17 0.0623156316470163 58.44450528911634
18 0.0678394551860291 58.48462380431259
19 0.07355352158948718 59.37580473003127
20 0.08567392782592823 60.36515594042183
