#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
10 0.5228605820105843 0.6955333333333312 0.0 0.0 0.0 0.0 10.0 3.0446666666666666 6.955333333333333 0.0 1.0 0.0 3.0446666666666666 0.0
20 0.7021122118622132 0.8568666666666727 0.0 0.0 0.0 0.0 20.0 2.8626666666666667 17.137333333333334 0.0 1.0 0.0 2.8626666666666667 0.0
30 0.7901357029680591 0.9171777777777768 0.0 0.0 0.0 0.0 30.0 2.4846666666666666 27.515333333333334 0.0 1.0 0.0 2.4846666666666666 0.0
40 0.8442434755532294 0.9470333333333312 0.0 0.0 0.0 0.0 40.0 2.1186666666666665 37.88133333333333 0.0 1.0 0.0 2.1186666666666665 0.0
50 0.8741222193584419 0.9618666666666736 0.0 0.0 0.0 0.0 50.0 1.9066666666666667 48.093333333333334 0.0 1.0 0.0 1.9066666666666667 0.0
60 0.8919460100311846 0.9711333333333406 0.0 0.0 0.0 0.0 60.0 1.732 58.268 0.0 1.0 0.0 1.732 0.0
70 0.9162515165937913 0.9801142857142803 0.0 0.0 0.0 0.0 70.0 1.392 68.608 0.0 1.0 0.0 1.392 0.0
80 0.924464740721799 0.9834916666666603 0.0 0.0 0.0 0.0 80.0 1.3206666666666667 78.67933333333333 0.0 1.0 0.0 1.3206666666666667 0.0
90 0.9308481940564637 0.9864962962962962 0.0 0.0 0.0 0.0 90.0 1.2153333333333334 88.78466666666667 0.0 1.0 0.0 1.2153333333333334 0.0
100 0.9391836096487787 0.9891333333333401 0.0 0.0 0.0 0.0 100.0 1.0866666666666667 98.91333333333333 0.0 1.0 0.0 1.0866666666666667 0.0
