#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success 1-node_p_success
1 0.2328408826257978 0.0 4.312910289301773e-08 1.0 0.36626243298530065 2.728867776582395e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.14322307882202778 1.928724498286148e-08 2.98023223876953e-09 1.0 0.0
2 1.3123285038514352 0.805333333333333 4.7274324586322156e-08 1.0 0.1835245369711639 1.3673643542167834e-09 5.16 4.84 0.32 0.0 2.58 1.58 3.84 0.7516142121344909 1.2655317048262965e-07 7.68899917602539e-09 0.5 0.5
3 2.6257924517208657 0.8895555555555549 4.039869582708191e-08 1.0 0.13365940147789598 9.958401432476639e-10 9.06 8.02 1.04 0.0 3.0200000000000005 2.0199999999999996 7.02 1.4726239084703863 1.6221110517122973e-07 9.000301361083992e-09 0.3333333333333335 0.6666666666666665
4 4.603374373538708 0.9236117216117208 3.938287059939432e-08 1.0 0.10595648636028336 7.894373413941515e-10 13.1 10.62 2.48 0.0 3.275 2.275 9.62 2.306999422451418 1.767547027587562e-07 9.760260581970207e-09 0.25 0.75
5 5.030932566379414 0.9413725490196069 3.8766927747655044e-08 1.0 0.0829630822260347 6.181231306942902e-10 17.06 12.42 4.64 0.0 3.4120000000000035 2.412000000000002 11.42 2.703759220353399 1.9173261426054444e-07 1.0168552398681637e-08 0.19999999999999993 0.8
6 6.416819318172194 0.9523809523809512 3.6920208839458874e-08 1.0 0.07098521905519627 5.288810957610329e-10 21.0 13.36 7.64 0.0 3.5 2.5 12.36 3.264060586354778 1.990172930117226e-07 1.0430812835693357e-08 0.16666666666666674 0.8333333333333333
7 7.128764095754263 0.9600615384615391 3.594850758900489e-08 1.0 0.06147932039971584 4.5805663168218613e-10 25.04 15.26 9.78 0.0 3.5771428571428596 2.577142857142856 14.26 3.7793855240279925 2.0576577751463366e-07 1.06607164655413e-08 0.142857142857143 0.857142857142857
8 9.182687222609564 0.9656091954022983 3.692344810053687e-08 1.0 0.054669589452307044 4.0732018241515043e-10 29.08 16.52 12.56 0.0 3.635 2.635 15.52 4.593214664515795 2.0523593652923524e-07 1.0833144187927256e-08 0.125 0.875
9 8.396975640127977 0.969750445632798 3.942557388230518e-08 1.0 0.045370426988866244 3.38036022997396e-10 33.06 17.08 15.98 0.0 3.6733333333333316 2.6733333333333342 16.08 4.418397787968704 2.0728919438408668e-07 1.094738642374675e-08 0.11111111111111102 0.888888888888889
10 8.63641498824679 0.9730014224751073 3.93032968699765e-08 1.0 0.0404743305508414 3.0155726187558027e-10 37.04 17.44 19.6 0.0 3.7039999999999975 2.704000000000001 16.44 4.605271992490161 2.0817003012099164e-07 1.1038780212402339e-08 0.09999999999999996 0.9
11 11.56360934476259 0.9756678281068529 4.021967440353177e-08 1.0 0.03812030480903977 2.8401840335905383e-10 41.1 18.36 22.74 0.0 3.736363636363636 2.736363636363638 17.36 5.580220817242866 2.1128524967444946e-07 1.1135231364857064e-08 0.09090909090909087 0.9090909090909092
12 10.313096173125878 0.9778357487922693 4.084484615632978e-08 1.0 0.03313517580675116 2.4687629794144006e-10 45.12 19.54 25.58 0.0 3.76 2.76 18.54 5.294536604431453 2.1397197252684736e-07 1.1205673217773436e-08 0.08333333333333337 0.9166666666666666
13 8.523014762905131 0.979648979591836 4.386717603601494e-08 1.0 0.028820296435421347 2.1472794141934326e-10 49.14 19.48 29.66 0.0 3.780000000000001 2.780000000000001 18.48 4.926458124595609 2.1437036702246015e-07 1.1265277862548836e-08 0.07692307692307698 0.923076923076923
14 13.489921137396458 0.9811530398322855 3.7792351338346796e-08 1.0 0.03053995196414466 2.2754037353504195e-10 53.06 21.16 31.9 0.0 3.7899999999999987 2.790000000000002 20.16 6.787665178554004 2.1518535207456276e-07 1.1295080184936525e-08 0.0714285714285715 0.9285714285714285
15 14.007725361513497 0.9825043321336655 4.167690825391943e-08 1.0 0.027230972742670997 2.0288655715190617e-10 57.16 20.14 37.02 0.0 3.8106666666666684 2.8106666666666653 19.14 6.686939181321714 2.2098148263019112e-07 1.1356671651204432e-08 0.06666666666666674 0.9333333333333332
16 10.304750009936345 0.9836435748281335 4.371675303112918e-08 1.0 0.02342076666640652 1.7449830968980878e-10 61.14 20.0 41.14 0.0 3.82125 2.82125 19.0 5.700593077318512 2.1570070169464408e-07 1.1388212442398071e-08 0.0625 0.9375
17 10.70470277382331 0.9846573426573417 4.4671816461620666e-08 1.0 0.021894785828042274 1.6312886646421458e-10 65.18 20.2 44.98 0.0 3.8341176470588207 2.834117647058824 19.2 5.885335178802365 2.1695143242796364e-07 1.1426561018999891e-08 0.058823529411764636 0.9411764705882354
18 11.13938321599773 0.9855693581780547 4.6828739733732174e-08 1.0 0.020156465340894672 1.5017736957143748e-10 69.3 19.5 49.8 0.0 3.850000000000001 2.8499999999999996 18.5 5.975905068206464 2.1932050829201212e-07 1.1473894119262696e-08 0.05555555555555551 0.9444444444444445
19 9.358703267594382 0.9863643095149945 5.074641578466458e-08 1.0 0.017555680173022205 1.308000100629196e-10 73.34 19.66 53.68 0.0 3.859999999999997 2.8599999999999977 18.66 5.365387787397854 2.192617020921633e-07 1.1503696441650401e-08 0.052631578947368425 0.9473684210526315
20 14.026604482510447 0.9870295527257563 3.9171300230316944e-08 1.0 0.02040984707172997 1.5206521057881393e-10 77.1 20.88 56.22 0.0 3.8549999999999973 2.8549999999999978 19.88 7.515576590029318 2.1937129082959599e-07 1.1488795280456548e-08 0.04999999999999998 0.9500000000000001
