#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
10 0.7432063492063494 0.887533333333332 0.0 0.0 0.0 0.0 10.0 1.1246666666666667 8.875333333333334 0.0 1.0 0.0 1.1246666666666667 0.0
20 0.8569619047618992 0.9591333333333455 0.0 0.0 0.0 0.0 20.0 0.8173333333333334 19.182666666666666 0.0 1.0 0.0 0.8173333333333334 0.0
30 0.8961719576719563 0.9772000000000066 0.0 0.0 0.0 0.0 30.0 0.684 29.316 0.0 1.0 0.0 0.684 0.0
40 0.919252380952383 0.9857666666666633 0.0 0.0 0.0 0.0 40.0 0.5693333333333334 39.43066666666667 0.0 1.0 0.0 0.5693333333333334 0.0
50 0.9299251082251104 0.9893733333333398 0.0 0.0 0.0 0.0 50.0 0.5313333333333333 49.468666666666664 0.0 1.0 0.0 0.5313333333333333 0.0
60 0.9394012987013022 0.9919222222222271 0.0 0.0 0.0 0.0 60.0 0.4846666666666667 59.51533333333333 0.0 1.0 0.0 0.4846666666666667 0.0
70 0.948071380471384 0.9939523809523755 0.0 0.0 0.0 0.0 70.0 0.42333333333333334 69.57666666666667 0.0 1.0 0.0 0.42333333333333334 0.0
80 0.9476309042809076 0.9944249999999919 0.0 0.0 0.0 0.0 80.0 0.446 79.554 0.0 1.0 0.0 0.446 0.0
90 0.9519362230362265 0.9954296296296287 0.0 0.0 0.0 0.0 90.0 0.41133333333333333 89.58866666666667 0.0 1.0 0.0 0.41133333333333333 0.0
100 0.957248246198249 0.9962666666666696 0.0 0.0 0.0 0.0 100.0 0.37333333333333335 99.62666666666667 0.0 1.0 0.0 0.37333333333333335 0.0
