#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success 1-node_p_success
11 4342.983662154722 1.0 0.0 0.0 0.0 0.0 19298.0 7099.333333333333 12198.0 0.6666666666666666 1754.3636363636363 1753.3636363636363 7099.333333333333 2210.1335236075383 2.2794870947775864e-07 1.1919095361589403e-08 0.0002050839601202212 0.9997949160398798
12 5014.3978100575805 1.0 0.0 0.0 0.0 0.0 21119.333333333332 7018.666666666667 14099.333333333334 1.3333333333333333 1759.9444444444443 1758.9444444444443 7018.666666666667 2714.357992242283 2.2729043830277144e-07 1.1919231152241407e-08 0.00018989603279095368 0.999810103967209
13 2043.8674217492478 1.0 0.0 0.0 0.0 0.0 22852.0 7043.0 15808.333333333334 0.6666666666666666 1757.846153846154 1756.846153846154 7043.0 1564.7028538923594 2.2752250391463448e-07 1.1919373948486607e-08 0.00017392454312588096 0.9998260754568741
14 2331.868524860598 1.0 0.0 0.0 0.0 0.0 24597.666666666668 6978.0 17619.0 0.6666666666666666 1756.9761904761906 1755.9761904761906 6978.0 1684.971478332226 2.2766123361234644e-07 1.1919645877533764e-08 0.00016126484536574794 0.9998387351546343
15 2638.160653776822 1.0 0.0 0.0 0.0 0.0 26352.333333333332 6801.333333333333 19549.0 2.0 1756.8222222222223 1755.8222222222223 6801.333333333333 1831.8373930622595 2.2769856931398344e-07 1.1919722017079618e-08 0.00015198319653816225 0.9998480168034618
16 3242.1369970794276 1.0 0.0 0.0 0.0 0.0 28128.0 6792.333333333333 21335.333333333332 0.3333333333333333 1758.0 1757.0 6792.333333333333 2197.386478206297 2.27548414096218e-07 1.1919661797645172e-08 0.0001417291597348417 0.9998582708402651
17 5972.6538731444125 1.0 0.0 0.0 0.0 0.0 29893.333333333332 6562.0 23331.333333333332 0.0 1758.43137254902 1757.43137254902 6562.0 3280.7625485972844 2.2748791170986636e-07 1.1919739030653938e-08 0.0001330907939319816 0.999866909206068
18 2055.4663024913602 1.0 0.0 0.0 0.0 0.0 31606.333333333332 6385.666666666667 25220.0 0.6666666666666666 1755.9074074074076 1754.9074074074076 6385.666666666667 1588.2429214124902 2.2778676693730252e-07 1.1919925635322152e-08 0.00012609096454924273 0.9998739090354507
19 5051.979895296622 1.0 0.0 0.0 0.0 0.0 33366.333333333336 6283.333333333333 27081.333333333332 1.6666666666666667 1756.122807017544 1755.122807017544 6283.333333333333 2396.6188777261846 2.277667771815771e-07 1.1920093201937203e-08 0.00012009700459281712 0.9998799029954072
20 1631.4851550039086 1.0 0.0 0.0 0.0 0.0 35118.0 6163.333333333333 28953.666666666668 1.0 1755.9000000000003 1754.9000000000003 6163.333333333333 1346.0224551218416 2.2777713110314292e-07 1.1920030329954907e-08 0.00011331033789795495 0.999886689662102
