1 1.0 0.0 1.0 4.505965771273793e-08 2.9802322387695575e-09 1.0 0.0 1.0 0.0 0.0 6.61396999011618
2 1.0 0.0 1.0 7.448457716869152e-08 4.5508146286010826e-09 3.054 0.292 2.0 0.762 0.31166666666666687 6.109740837078887
3 1.0 0.0 1.0 8.84561095959577e-08 5.197525024414092e-09 5.232 0.59 3.0 1.642 0.4065571428571444 5.87582366911105
4 1.0 0.0055 0.9945 1.1033517296566486e-07 6.121397018432617e-09 8.216 1.396 3.978 2.842 0.5007710622710599 5.548001470335784
5 1.0 0.015200000000000009 0.9848000000000007 1.2652060479497924e-07 6.77466392517091e-09 11.366 2.07 4.924 4.372 0.5577059496059497 5.354593377220207
6 1.0 0.03299999999999996 0.966999999999999 1.4108291393479943e-07 7.310509681701665e-09 14.718 2.894 5.802 6.022 0.5985261790840742 5.181711574996367
7 1.0 0.07428571428571429 0.9257142857142827 1.518739710660216e-07 7.769039699009495e-09 18.248 3.86 6.48 7.908 0.6393769409767912 5.1154517423082275
8 1.0 0.113 0.887 1.636573553245886e-07 8.235126733779907e-09 22.106 5.39 7.096 9.62 0.6745029210500201 5.031931939415023
9 1.0 0.1506666666666673 0.8493333333333349 1.7229709805966623e-07 8.519490559895843e-09 25.728 6.212 7.644 11.872 0.6997524112337786 4.944651219224572
10 1.0 0.2001999999999999 0.7997999999999997 1.7877269818799817e-07 8.871555328369157e-09 29.768 8.202 7.998 13.568 0.7288896643598578 4.962477726347112
11 1.0 0.2354545454545451 0.7645454545454554 1.8502862450975975e-07 9.098378094759862e-09 33.582 9.096 8.41 16.076 0.7478482748227095 4.917281376795809
12 1.0 0.26666666666666644 0.7333333333333327 1.90210749630804e-07 9.279946486155192e-09 37.366 10.484 8.8 18.082 0.7629183082817531 4.878770786702339
13 1.0 0.3086153846153855 0.691384615384615 1.971379347747107e-07 9.54132813673751e-09 41.62 12.374 8.988 20.258 0.7827991991623259 4.83992497316224
14 1.0 0.34285714285714325 0.6571428571428588 2.0111492712700223e-07 9.71811158316477e-09 45.652 14.102 9.2 22.35 0.7974565733497897 4.832118491646258
15 1.0 0.36666666666666875 0.6333333333333344 2.0440839312772435e-07 9.84787940979003e-09 49.566 15.294 9.5 24.772 0.8074472313304674 4.81774708910147
16 1.0 0.392 0.608 2.081694849236184e-07 9.996443986892701e-09 53.668 16.972 9.728 26.968 0.8179583967574822 4.802069808915845
17 1.0 0.4269411764705865 0.5730588235294123 2.108992456445937e-07 1.0124024222878843e-08 57.75 19.136 9.742 28.872 0.830666347019241 4.800407982463718
18 1.0 0.45322222222222336 0.546777777777776 2.1528758523757436e-07 1.0239084561665858e-08 61.842 21.534 9.842 30.466 0.8401924747308405 4.756003255072425
19 1.0 0.474842105263159 0.5251578947368409 2.16571180762606e-07 1.0322583349127504e-08 65.81 23.242 9.978 32.59 0.8478092857794448 4.766369797116534
20 1.0 0.5065000000000001 0.4935 2.2061057892845417e-07 1.0492801666259766e-08 70.416 26.992 9.87 33.554 0.859314306633226 4.756254988870079
