Nodes;p_a;p{cycle_failure};p{cycle_success};p{rts_collision};p{rts_success};p{wait};idle_time;backoff_time;rts_time;cts_time;out_time;data_time;wait_time;Cycle_time;time_between_tx;time_w/o_tx;tau;tau_data
1;1.0;0.0;1.0;0.0;1.0;0.0;3.199999999998623;17.60557684619544;3.199999999998622;3.199999999998622;0.0;15.999999999999316;0.0;46.405576846189255;240.00000000000162;1560.418263464555;0.06895722922710312;0.34478614613564934
2;1.0;0.0;1.0;0.067607417114726;0.9323925828852744;0.0;3.199999999998622;20.347302076642695;3.4322053499830156;3.1999999999986195;0.23220534998439593;15.999999999999323;0.0;49.611712776605295;240.0000000000002;1783.4630569969281;0.06918135169889746;0.32250448743918836
3;1.0;0.00025516674948742105;0.9997448332505127;0.1303840262314576;0.8696159737685428;0.0;3.199999999998622;23.488567407814173;3.6791840413470163;3.1991834664002603;0.480000574946756;15.995917332007524;0.0;53.242036288914626;239.99999999999855;2037.6425987069663;0.06910299263127637;0.3004377451907862
4;1.0;0.0011788721819236737;0.9988211278180766;0.18982841264344702;0.8101715873565527;0.0;3.199999999998622;27.094479446163866;3.9456532121855075;3.1962276090164647;0.7494256031690427;15.981138045088553;0.0;57.36315152463849;239.99999999999744;2328.292878699864;0.06878375938760581;0.2785958863892681
5;1.0;0.0033956378213906907;0.9966043621786094;0.24310668480227396;0.7568933151977263;0.0;3.199999999998623;30.935514828662726;4.214182584937891;3.1891339589701757;1.025048625967717;15.945669794857091;0.0;61.698683752364445;239.99999999999596;2637.042259097181;0.06830263351892646;0.25844424589116155
6;1.0;0.007198398706100358;0.9928016012938997;0.2921108634820784;0.7078891365179218;0.0;3.199999999998619;34.967342931755645;4.4890577070007165;3.1769651241391044;1.3120925828616097;15.884825620701731;0.0;66.20724909059652;239.9999999999942;2960.9576635961894;0.06780311474439892;0.23992577608783125
7;1.0;0.012781062119758171;0.9872189378802416;0.33709181963480894;0.6629081803651908;0.0;3.1999999999986244;39.253176540362325;4.766693593261314;3.1591006012154144;1.6075929920458996;15.79550300608321;0.0;70.94116733418221;239.9999999999942;3304.5577149305136;0.06719220690021739;0.22265637287409457
8;1.0;0.02083229752456579;0.9791677024754342;0.3799079832075543;0.620092016792446;0.0;3.199999999998618;43.78064379528663;5.054522261427653;3.133336647920031;1.9211856135076224;15.666683239606284;0.0;75.88970820566689;239.99999999999463;3667.637205659466;0.06660352742073422;0.20644015651171538
9;1.0;0.030247933732871123;0.969752066267129;0.4175776807463918;0.5824223192536082;0.0;3.1999999999986253;48.16269243372219;5.330135896581842;3.1032066120534747;2.226929284528364;15.516033060273415;0.0;80.64220389921141;239.99999999999568;4019.221628868687;0.06609610897097476;0.19240586578791585
10;1.0;0.042733003535109865;0.9572669964648899;0.4539511219078375;0.5460488780921625;0.0;3.1999999999986173;52.89974898565745;5.611940565544751;3.063254388686322;2.5486861768584275;15.316271943437592;0.0;85.70315644886955;239.9999999999961;4398.632637188587;0.0654811420964738;0.17871304369723268
11;1.0;0.05598936304246246;0.9440106369575377;0.48621488238003463;0.5137851176199653;0.0;3.1999999999986213;57.47568382149413;5.881935439148309;3.020834038262814;2.861101400885495;15.104170191319973;0.0;90.56455892937211;239.99999999999628;4765.258891678365;0.06494743096728832;0.1667779357607113
12;1.0;0.07167655750909781;0.9283234424909023;0.5173020638572261;0.48269793614277406;0.0;3.1999999999986226;62.073671292295295;6.156988047387614;2.9706350159695996;3.186353031418013;14.853175079853811;0.0;95.41145748289256;239.9999999999967;5134.5018242783935;0.06453090865414747;0.15567496264813913
13;1.0;0.08974155677293183;0.9102584432270682;0.5467997588641281;0.45320024113587193;0.0;3.199999999998624;66.77683589655071;6.43037845835635;2.912827018325358;3.517551440030994;14.564135091632483;0.0;100.31455492321987;239.9999999999978;5512.079050243525;0.06410214812075996;0.1451846654035377
